id,name,role,rating,reviews,location,experience,specialization,skills,availability,charges,chargeNum,phone,email,photo,bio,review1_name,review1_stars,review1_text,review2_name,review2_stars,review2_text
14,Dr. Deepa Menon,Critical Care Nurse,4.8,209,Kolkata,8 yrs,Night Care|Post Surgery Care,ICU Protocols|Emergency Response,Emergency,Rs2000,2000,+91 98310 12345,deepa.menon@medical.gov.in,https://randomuser.me/api/portraits/women/61.jpg,Critical care nurse for overnight home care,Bijoy D.,5,Saved father during night emergency,,,
15,Dr. Harish Bose,Cardio Rehab Specialist,4.5,145,Kolkata,12 yrs,Post Surgery Care|Elderly Care,ECG Monitoring|Cardiac Diet Counseling,Available,Rs1100,1100,+91 98300 54321,harish.bose@sskm.org,https://randomuser.me/api/portraits/men/14.jpg,Cardiac rehab specialist,Sharmila B.,4,Steady post-surgery follow-up,,,
16,Dr. Sonal Mathur,Home Nurse,4.6,188,Jaipur,7 yrs,Home Nursing|Elderly Care,Wound Dressing|IV Canula,Available,Rs600,600,+91 98290 11122,sonal.mathur@sms.gov.in,https://randomuser.me/api/portraits/women/20.jpg,Experienced home nurse,Mahesh T.,5,Very caring with elderly mother,,,
17,Dr. Pavan Mishra,Neurologist,4.9,440,Lucknow,21 yrs,Stroke Recovery|Dementia Care,EEG|TPA Therapy|Epilepsy Mgmt,Busy,Rs2500,2500,+91 94158 77001,pavan.mishra@kgmc.edu,https://randomuser.me/api/portraits/men/47.jpg,Top neurologist at KGMU Lucknow,Alok S.,5,Best neurologist no question,Ritu M.,5,Epilepsy finally under control
18,Dr. Amrita Kapoor,Oncology Nurse,4.7,230,Mumbai,14 yrs,Palliative Care|Night Care,Chemo Administration|Pain Assessment,Available,Rs1700,1700,+91 99205 44321,amrita.kapoor@tmc.gov.in,https://randomuser.me/api/portraits/women/48.jpg,Home oncology nurse,Suresh P.,5,An angel during difficult time,,,
19,Dr. Kiran Desai,Respiratory Therapist,4.5,122,Surat,9 yrs,Post Surgery Care|Home Nursing,Nebulization|Oxygen Therapy|BiPAP Setup,Available,Rs800,800,+91 98254 33210,kiran.desai@smimer.edu,https://randomuser.me/api/portraits/men/33.jpg,Certified respiratory therapist,Hina D.,4,Quick and professional BiPAP setup,,,
20,Dr. Lalita Verma,Geriatric Nurse Specialist,4.8,299,Bhopal,16 yrs,Elderly Care|Dementia Care|Night Care,Fall Prevention|Memory Exercises,Available,Rs950,950,+91 90091 55443,lalita.verma@hamidia.gov.in,https://randomuser.me/api/portraits/women/72.jpg,Geriatric nurse for fall prevention,Nidhi G.,5,My grandmother loves her!,,,
21,Dr. Sandeep Agarwal,Cardiologist,4.9,512,Delhi,25 yrs,Post Surgery Care|Elderly Care,Echocardiography|Heart Failure Protocol,Emergency,Rs3000,3000,+91 98110 99887,sandeep.agarwal@aiims.edu,https://randomuser.me/api/portraits/men/59.jpg,AIIMS cardiologist 25 years experience,Pooja A.,5,Responded in 10 min for emergency,Vikas M.,5,Best cardiologist in Delhi
22,Dr. Pooja Nambiar,Psychiatrist,4.6,167,Bangalore,11 yrs,Dementia Care|Palliative Care,CBT|Mindfulness Therapy,Available,Rs1400,1400,+91 80456 78901,pooja.nambiar@nimhans.edu,https://randomuser.me/api/portraits/women/85.jpg,Psychiatrist for elderly wellness,Tara S.,4,Helped family support Dad,,,
23,Dr. Rohit Saxena,Physiotherapist,4.7,204,Agra,8 yrs,Stroke Recovery|Post Surgery Care,Balance Training|Hydrotherapy,Available,Rs650,650,+91 98370 11234,rohit.saxena@clinic.com,https://randomuser.me/api/portraits/men/22.jpg,Hydrotherapy and balance rehab,Sunita J.,5,Improved mobility in 2 months,,,
24,Dr. Usha Krishnamurthy,Palliative Care Consultant,4.9,378,Chennai,20 yrs,Palliative Care|Elderly Care,End of Life Care|Opioid Mgmt,Available,Rs2000,2000,+91 44567 89012,usha.k@adyar.org,https://randomuser.me/api/portraits/women/91.jpg,20 years compassionate palliative care,Janaki R.,5,Brought dignity and peace,Suresh V.,5,Exceptional doctor
25,Dr. Gaurav Khanna,Emergency Nurse Specialist,4.8,332,Gurgaon,13 yrs,Night Care,Triage|BLS/ACLS|Critical Assessment,Emergency,Rs2500,2500,+91 96500 77654,gaurav.khanna@fortis.com,https://randomuser.me/api/portraits/men/71.jpg,24/7 emergency nurse at Fortis,Ritika S.,5,Arrived in 20 min stabilized father,,,
26,Dr. Swati Tripathi,Diabetic Educator,4.5,140,Varanasi,7 yrs,Elderly Care|Home Nursing,Blood Sugar Monitoring|Dietary Planning,Available,Rs700,700,+91 95180 22234,swati.tripathi@bhu.edu,https://randomuser.me/api/portraits/women/16.jpg,Certified diabetes educator,Geeta S.,4,Clear advice on diet and medication,,,
27,Dr. Naresh Babu,Orthopaedic Surgeon,4.9,489,Hyderabad,22 yrs,Post Surgery Care|Stroke Recovery,Joint Replacement|Fracture Mgmt,Busy,Rs3500,3500,+91 40345 67890,naresh.babu@care.com,https://randomuser.me/api/portraits/men/83.jpg,Top orthopaedic surgeon Hyderabad,Pradeep K.,5,Hip replacement complete success,,,
28,Dr. Indira Chakraborty,Dietitian and Nutritionist,4.6,192,Kolkata,10 yrs,Elderly Care|Palliative Care,Medical Nutrition Therapy|Weight Mgmt,Available,Rs800,800,+91 98313 00987,indira.c@irm.gov.in,https://randomuser.me/api/portraits/women/34.jpg,Medical nutritionist for elderly,Mira D.,4,Customised diet plan helped a lot,,,
29,Dr. Firoz Khan,Cardiologist,4.8,356,Mumbai,18 yrs,Post Surgery Care|Elderly Care,Catheterization|Cardiac Monitoring,Available,Rs2800,2800,+91 99204 55678,firoz.khan@hinduja.com,https://randomuser.me/api/portraits/men/38.jpg,Hinduja Hospital cardiologist,Nasreen B.,5,Thorough kind always available,,,
30,Dr. Reena Bhat,Dementia Care Specialist,4.9,417,Pune,17 yrs,Dementia Care|Elderly Care|Night Care,Reality Orientation|Music Therapy,Emergency,Rs1800,1800,+91 20654 32109,reena.bhat@deenanath.com,https://randomuser.me/api/portraits/women/56.jpg,Pioneer of music therapy in dementia care,Anand B.,5,Music therapy changed mother's life,Smita P.,5,Innovative dementia care approach
31,Dr. Prakash Chandra,General Physician,4.6,178,Patna,15 yrs,Elderly Care|Home Nursing,Comprehensive Checkup|Fever Management,Available,Rs800,800,+91 93041 12345,prakash.chandra@pmch.gov.in,https://randomuser.me/api/portraits/men/42.jpg,Experienced general physician for elderly home visits,Ravi S.,4,Prompt and professional service,,,
32,Dr. Nidhi Saxena,Wound Care Specialist,4.8,215,Delhi,9 yrs,Post Surgery Care|Home Nursing,Advanced Wound Dressing|Pressure Ulcer Care,Available,Rs1200,1200,+91 98734 99001,nidhi.saxena@apollodelhi.com,https://randomuser.me/api/portraits/women/27.jpg,Specialized in diabetic foot and pressure ulcer care,Shamim A.,5,Healed my mother's bedsore completely,,,
33,Dr. Tarun Mehta,Interventional Cardiologist,5.0,892,Mumbai,26 yrs,Post Surgery Care|Elderly Care,Angioplasty|Stent Placement|Echo,Available,Rs3500,3500,+91 98200 34567,tarun.mehta@lilavati.com,https://randomuser.me/api/portraits/men/91.jpg,Top interventional cardiologist at Lilavati Hospital,Ashok K.,5,Life-saving intervention,Neeta M.,5,Highly skilled and compassionate
34,Dr. Shubha Rao,Home Palliative Nurse,4.9,303,Bangalore,12 yrs,Palliative Care|Night Care,Symptom Management|Emotional Support,Busy,Rs1600,1600,+91 98459 88234,shubha.rao@hpca.in,https://randomuser.me/api/portraits/women/63.jpg,Experienced palliative nurse for home settings,Geetha P.,5,Provided immense comfort in final days,,,
35,Dr. Anupam Srivastava,Nephrologist,4.7,267,Lucknow,20 yrs,Elderly Care|Post Surgery Care,Dialysis Management|Kidney Transplant Care,Available,Rs2200,2200,+91 98399 45678,anupam.s@sgpgi.ac.in,https://randomuser.me/api/portraits/men/35.jpg,SGPGI Lucknow nephrologist specialized in elderly kidney care,Ram K.,4,Stable dialysis for 2 years now,,,
36,Dr. Cheryl Fernandes,Speech Therapist,4.5,102,Goa,6 yrs,Stroke Recovery|Elderly Care,Aphasia Therapy|Swallowing Therapy,Available,Rs900,900,+91 98230 99876,cheryl.fernandes@gmc.goa.in,https://randomuser.me/api/portraits/women/40.jpg,Speech and swallowing therapist for stroke patients,Maria D.,5,Grandmother can swallow safely now,,,
37,Dr. Rajeev Bhatia,Orthogeriatrician,4.9,381,Chandigarh,19 yrs,Elderly Care|Post Surgery Care,Fracture Management|Osteoporosis Treatment,Available,Rs2400,2400,+91 98768 45321,rajeev.bhatia@pgimer.edu,https://randomuser.me/api/portraits/men/53.jpg,Specialist in bone health and fractures in elderly,Satinder K.,5,Hip fracture recovery excellent,,,
38,Dr. Madhuri Deshmukh,Respiratory Nurse,4.7,144,Nagpur,11 yrs,Home Nursing|Elderly Care,Oxygen Administration|Nebulization,Busy,Rs750,750,+91 93733 67890,madhuri.d@igmc.in,https://randomuser.me/api/portraits/women/78.jpg,Home respiratory nurse for COPD patients,Arun P.,5,Very skilled with oxygen equipment,,,
39,Dr. Karthik Subramaniam,Neurologist,4.8,523,Chennai,23 yrs,Stroke Recovery|Dementia Care,Botulinum Toxin|Movement Disorder Mgmt,Emergency,Rs2800,2800,+91 98410 99887,karthik.sub@apolloclinic.com,https://randomuser.me/api/portraits/men/64.jpg,Leading neurologist for movement disorders and stroke,Radha S.,5,Gave my father quality of life back,,,
40,Dr. Shilpa Shetty,Postnatal Care Nurse,4.6,187,Mangalore,8 yrs,Home Nursing|Night Care,Breastfeeding Support|Newborn Care,Available,Rs850,850,+91 98451 23456,shilpa.s@kjhosp.com,https://randomuser.me/api/portraits/women/19.jpg,Skilled postnatal nurse for mother and baby care,Anusha K.,5,Support was invaluable post delivery,,,
41,Dr. Ajay Khurana,Pulmonologist,4.7,298,Jaipur,16 yrs,Elderly Care|Post Surgery Care,Interventional Pulmonology|Sleep Medicine,Available,Rs1700,1700,+91 98292 66543,ajay.khurana@fortisjaipur.com,https://randomuser.me/api/portraits/men/77.jpg,Pulmonologist specializing in sleep apnea and COPD,Devendra S.,4,Improved sleep quality significantly,,,
42,Dr. Vijayalakshmi Rajan,Cancer Care Nurse,4.9,412,Chennai,18 yrs,Palliative Care|Post Surgery Care,Chemo Side Effect Mgmt|Stoma Care,Available,Rs1900,1900,+91 94444 78901,viji.rajan@adyaar.org,https://randomuser.me/api/portraits/women/86.jpg,Senior oncology nurse for home palliative care,Chitra M.,5,Provided compassionate care during chemo,,,
43,Dr. Harpreet Singh,Physiotherapist,4.8,256,Amritsar,12 yrs,Stroke Recovery|Post Surgery Care,Neuro Physiotherapy|Paralysis Rehab,Available,Rs700,700,+91 98158 33221,harpreet.singh@amandeep.com,https://randomuser.me/api/portraits/men/39.jpg,Neuro physiotherapist specializing in stroke recovery,Gurmeet K.,5,Significant improvement in walking,,,
44,Dr. Neeraj Gupta,Geriatric Psychiatrist,4.8,203,Delhi,14 yrs,Dementia Care|Elderly Care,Depression Management|Memory Assessment,Available,Rs2100,2100,+91 98111 55678,neeraj.gupta@aiims.edu,https://randomuser.me/api/portraits/men/84.jpg,AIIMS geriatric psychiatrist for elderly mental health,Sudha M.,5,Helped manage father's depression effectively,,,
45,Dr. Alpa Shah,Diabetic Foot Specialist,4.7,128,Ahmedabad,10 yrs,Post Surgery Care|Elderly Care,Foot Ulcer Management|Nail Care,Available,Rs1100,1100,+91 99099 44556,alpa.shah@salhospital.com,https://randomuser.me/api/portraits/women/31.jpg,Specialized in diabetic foot care and prevention,Kirit B.,5,Saved my father's foot from amputation,,,
46,Dr. Kunal Roy,Cardiac Rehab Specialist,4.5,119,Kolkata,8 yrs,Post Surgery Care,EECP|Cardiac Exercise Prescription,Available,Rs1300,1300,+91 98302 77889,kunal.roy@bch.in,https://randomuser.me/api/portraits/men/25.jpg,Cardiac rehab specialist for post-surgery recovery,Sourav G.,4,Good structured rehab program,,,
47,Dr. Asha Nair,Home Ventilator Nurse,4.9,287,Kochi,15 yrs,Night Care|Post Surgery Care,Tracheostomy Care|Ventilator Management,Busy,Rs2200,2200,+91 97445 66778,asha.nair@astermedcity.com,https://randomuser.me/api/portraits/women/94.jpg,Specialized nurse for home ventilator patients,James K.,5,Expert in ventilator care 24/7,,,
48,Dr. Sanjeev Kumar,Rheumatologist,4.7,156,Patna,13 yrs,Elderly Care,Arthritis Management|Immunosuppressant Therapy,Available,Rs1600,1600,+91 93040 99887,sanjeev.k@igims.org,https://randomuser.me/api/portraits/men/48.jpg,Rheumatologist specializing in elderly arthritis,Anita S.,4,Reduced joint pain significantly,,,
49,Dr. Neha Agarwal,Nutritionist,4.8,231,Indore,9 yrs,Elderly Care|Wellness Care,Geriatric Nutrition|Renal Diet,Available,Rs750,750,+91 98270 44332,neha.agarwal@chlahosp.com,https://randomuser.me/api/portraits/women/52.jpg,Geriatric nutrition specialist for chronic diseases,Sunil M.,5,Diet plan helped control diabetes,,,
50,Dr. Ravindra Jadhav,Emergency Physician,4.6,175,Pune,17 yrs,Emergency Care|Elderly Care,Acute Care Management|Trauma Care,Emergency,Rs2800,2800,+91 90280 99876,ravindra.j@rubyhall.com,https://randomuser.me/api/portraits/men/70.jpg,Emergency physician available for home emergencies,Priya J.,5,Rapid response during heart attack,,,
51,Dr. Jyotsna Reddy,Occupational Therapist,4.7,132,Hyderabad,11 yrs,Stroke Recovery|Elderly Care,Activities of Daily Living Training|Home Safety Assessment,Available,Rs900,900,+91 98666 54321,jyotsna.r@rehab.org,https://randomuser.me/api/portraits/women/74.jpg,Occupational therapist for independent living,Lakshmi P.,5,Grandmother can now eat independently,,,
52,Dr. Ashwin Desai,Urologist,4.9,378,Mumbai,24 yrs,Elderly Care|Post Surgery Care,Prostate Surgery|Incontinence Management,Available,Rs2600,2600,+91 98202 45678,ashwin.desai@kokilabenhospital.com,https://randomuser.me/api/portraits/men/58.jpg,Senior urologist specializing in elderly prostate issues,Dilip S.,5,Excellent post-surgery continence care,,,
53,Dr. Mamta Sharma,Breast Cancer Nurse,4.8,192,Delhi,12 yrs,Palliative Care|Post Surgery Care,Lymphedema Management|Post-mastectomy Care,Available,Rs1500,1500,+91 98112 99887,mamta.sharma@dharamshila.org,https://randomuser.me/api/portraits/women/45.jpg,Specialized nurse for breast cancer survivors,Reena K.,5,Very supportive post-surgery,,,
54,Dr. Subhash Chandra,Endocrinologist,4.7,289,Jaipur,18 yrs,Elderly Care,Thyroid Disorders|Osteoporosis Management,Available,Rs1800,1800,+91 97845 66778,subhash.c@smsmedical.com,https://randomuser.me/api/portraits/men/62.jpg,Endocrinologist specializing in elderly hormonal disorders,Sarla M.,4,Better thyroid management now,,,
55,Dr. Veena Prasad,Memory Care Specialist,4.9,405,Bangalore,20 yrs,Dementia Care|Elderly Care,Cognitive Assessment|Memory Enhancement Activities,Available,Rs2000,2000,+91 99721 33445,veena.prasad@nimhans.edu,https://randomuser.me/api/portraits/women/88.jpg,Memory care specialist for Alzheimer's patients,Rajesh N.,5,Remarkable improvement in memory,,,
56,Dr. Zubin Irani,Orthopedic Physiotherapist,4.6,143,Mumbai,10 yrs,Post Surgery Care|Elderly Care,Post-hip Replacement Rehab|Knee Rehab,Available,Rs1000,1000,+91 99677 33221,zubin.irani@hinduja.com,https://randomuser.me/api/portraits/men/36.jpg,Specialized in joint replacement rehabilitation,Feroze K.,5,Knee replacement rehab was excellent,,,
57,Dr. Sandhya Rani,Wound Ostomy Nurse,4.8,167,Chennai,14 yrs,Post Surgery Care|Home Nursing,Ostomy Care|Complex Wound Management,Available,Rs1400,1400,+91 98848 99876,sandhya.r@miot.in,https://randomuser.me/api/portraits/women/60.jpg,Certified wound ostomy continence nurse,Venkat P.,5,Expert ostomy care at home,,,
58,Dr. Amit Chaudhary,Neurosurgeon,5.0,756,Delhi,27 yrs,Post Surgery Care|Stroke Recovery,Minimally Invasive Spine Surgery|Brain Tumor,Available,Rs4000,4000,+91 98113 44556,amit.chaudhary@fortis.com,https://randomuser.me/api/portraits/men/79.md,Top neurosurgeon at Fortis Delhi,Preeti G.,5,Life-changing spine surgery,,,
59,Dr. Deepali Patil,Home Critical Care Nurse,4.9,312,Pune,16 yrs,Night Care|Post Surgery Care,ICU at Home|Ventilator Management,Available,Rs2400,2400,+91 90284 66778,deepali.patil@deenanath.com,https://randomuser.me/api/portraits/women/82.jpg,Critical care nurse for home ICU setup,Anil J.,5,Expert critical care at home,,,
60,Dr. Manish Khanna,Geriatric Dentist,4.7,98,Delhi,12 yrs,Elderly Care,Denture Care|Oral Health Assessment,Available,Rs1200,1200,+91 98114 33221,manish.khanna@clinic.com,https://randomuser.me/api/portraits/men/46.jpg,Specialized dentist for elderly oral care,Rajni A.,5,Great denture fitting for mother,,,
61,Dr. Smita Kulkarni,Cardiovascular Nurse,4.8,176,Pune,10 yrs,Post Surgery Care|Elderly Care,ECG Monitoring|Post-CABG Care,Available,Rs1300,1300,+91 90281 22334,smita.k@rubyhall.com,https://randomuser.me/api/portraits/women/23.jpg,Cardiovascular nurse for post-surgery home care,Mangesh D.,5,Excellent post-bypass care,,,
62,Dr. Yogesh Sharma,ENT Specialist,4.6,134,Jaipur,14 yrs,Elderly Care,Hearing Aid Fitting|Vertigo Management,Available,Rs1100,1100,+91 98291 99876,yogesh.sharma@ehcc.in,https://randomuser.me/api/portraits/men/29.jpg,ENT specialist for elderly hearing and balance issues,Rekha S.,4,Better hearing after treatment,,,
63,Dr. Rashmi Anand,Pediatric Home Nurse,4.9,289,Delhi,8 yrs,Home Nursing|Night Care,Neonatal ICU Care|Pediatric Emergency,Available,Rs1400,1400,+91 98713 44556,rashmi.anand@maxhealthcare.com,https://randomuser.me/api/portraits/women/41.jpg,Specialized pediatric nurse for home care,Neha G.,5,Excellent care for premature baby,,,
64,Dr. Gopalakrishnan Nair,Transplant Coordinator,4.7,98,Chennai,19 yrs,Post Surgery Care|Palliative Care,Organ Transplant Care|Immunosuppression Mgmt,Available,Rs2100,2100,+91 98410 33221,gopal.nair@miot.in,https://randomuser.me/api/portraits/men/69.jpg,Transplant care specialist for post-kidney transplant patients,Sundar R.,5,Expert guidance post-transplant,,,
65,Dr. Parul Mehta,Clinical Psychologist,4.8,215,Ahmedabad,13 yrs,Dementia Care|Elderly Care,CBT|Grief Counseling,Busy,Rs1500,1500,+91 98253 66778,parul.mehta@ahmedabadmind.com,https://randomuser.me/api/portraits/women/35.jpg,Clinical psychologist for elderly mental wellness,Jignesh S.,5,Helped family cope with dementia,,,
66,Dr. Rohan Patil,Orthopedic Surgeon,4.9,445,Nagpur,21 yrs,Post Surgery Care|Elderly Care,Arthroscopy|Fracture Fixation,Available,Rs2700,2700,+91 93731 99887,rohan.patil@orangecity.com,https://randomuser.me/api/portraits/men/73.jpg,Senior orthopedic surgeon specializing in elderly fractures,Anjali W.,5,Excellent fracture treatment,,,
67,Dr. Bhavna Shah,Diabetes Nurse Educator,4.7,182,Surat,9 yrs,Elderly Care|Home Nursing,Insulin Pump Training|Carb Counting,Available,Rs800,800,+91 98254 33229,bhavna.shah@suratdiabetes.com,https://randomuser.me/api/portraits/women/49.jpg,Certified diabetes educator for elderly,Hitesh P.,4,Very helpful with insulin management,,,
68,Dr. Anirban Ghosh,Pulmonologist,4.8,278,Kolkata,17 yrs,Elderly Care|Post Surgery Care,COPD Management|Bronchoscopy,Available,Rs1900,1900,+91 98310 55678,anirban.ghosh@apollokolkata.com,https://randomuser.me/api/portraits/men/81.jpg,Pulmonologist for elderly respiratory diseases,Sudip M.,5,COPD now well controlled,,,
69,Dr. Preeti Shenoy,Physiotherapist,4.6,147,Kochi,7 yrs,Stroke Recovery|Post Surgery Care,Hand Therapy|Neuroplasticity Exercises,Available,Rs750,750,+91 98460 12345,preeti.shenoy@amrita.edu,https://randomuser.me/api/portraits/women/26.jpg,Physiotherapist specializing in hand function after stroke,Thomas K.,4,Good improvement in hand movement,,,
70,Dr. Deepak Malhotra,Nephrologist,4.9,512,Delhi,25 yrs,Elderly Care|Post Surgery Care,Home Dialysis|Kidney Transplant,Available,Rs3200,3200,+91 98110 77889,deepak.malhotra@aiims.edu,https://randomuser.me/api/portraits/men/57.jpg,Senior nephrologist at AIIMS Delhi,Sanjay T.,5,Best nephrologist in Delhi,,,
71,Dr. Shweta Mishra,Oncology Palliative Nurse,4.9,298,Lucknow,14 yrs,Palliative Care|Night Care,Pain Management|End-of-Life Support,Busy,Rs1800,1800,+91 94150 33221,shweta.mishra@sgpgi.ac.in,https://randomuser.me/api/portraits/women/62.jpg,Compassionate palliative oncology nurse,Arvind K.,5,Blessing during difficult time,,,
72,Dr. Vikas Jain,Rheumatologist,4.7,165,Chandigarh,16 yrs,Elderly Care,Psoriatic Arthritis|Gout Management,Available,Rs1700,1700,+91 98765 44332,vikas.jain@pgimer.edu,https://randomuser.me/api/portraits/men/44.jpg,Rheumatologist for autoimmune conditions in elderly,Harpreet S.,4,Good management of arthritis,,,
73,Dr. Monica Philip,Cardiac Rehab Nurse,4.8,203,Bangalore,11 yrs,Post Surgery Care,Cardiac Monitoring|Rehab Exercises,Available,Rs1200,1200,+91 99800 55678,monica.philip@manipal.edu,https://randomuser.me/api/portraits/women/71.jpg,Cardiac rehabilitation nurse for post-heart attack care,Anand R.,5,Very supportive recovery program,,,
74,Dr. Rajendra Prasad,Geriatrician,4.9,387,Hyderabad,23 yrs,Elderly Care|Dementia Care,Comprehensive Geriatric Assessment,Available,Rs2500,2500,+91 99897 44556,rajendra.prasad@yashoda.com,https://randomuser.me/api/portraits/men/86.jpg,Senior geriatrician at Yashoda Hospital,Sarita V.,5,Excellent holistic care for elderly,,,
75,Dr. Komal Bhatia,Speech Language Pathologist,4.6,89,Indore,6 yrs,Stroke Recovery|Elderly Care,Dysphagia Therapy|Voice Therapy,Available,Rs850,850,+91 98270 99876,komal.bhatia@chlahosp.com,https://randomuser.me/api/portraits/women/17.jpg,Speech therapist for swallowing disorders,Pankaj M.,5,Safe swallowing now,,,
76,Dr. Senthil Kumar,Wound Care Specialist,4.8,212,Chennai,12 yrs,Post Surgery Care|Home Nursing,Diabetic Wound Care|Vacuum Therapy,Available,Rs1300,1300,+91 94440 66778,senthil.k@apolloclinic.com,https://randomuser.me/api/portraits/men/31.jpg,Advanced wound care specialist for chronic ulcers,Lakshmi N.,5,Healed diabetic ulcer in 3 weeks,,,
77,Dr. Neelam Yadav,Home Ventilator Nurse,4.9,267,Jaipur,13 yrs,Night Care|Post Surgery Care,Tracheostomy Care|Weaning Protocols,Emergency,Rs2300,2300,+91 98290 44332,neelam.yadav@fortisjaipur.com,https://randomuser.me/api/portraits/women/96.jpg,Expert home ventilator nurse for long-term care,Mahesh C.,5,Reliable ventilator management,,,
78,Dr. Prashant Deshpande,Cardiologist,4.8,334,Pune,19 yrs,Elderly Care|Post Surgery Care,Interventional Cardiology|Heart Failure,Available,Rs2800,2800,+91 98225 88990,prashant.d@rubyhall.com,https://randomuser.me/api/portraits/men/52.jpg,Senior cardiologist at Ruby Hall,Prasad J.,5,Excellent heart failure management,,,
